timestamp,is_working_hour,optimization_type,current_temp,indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity,optimal_temp,actual_energy,original_predicted_energy,optimized_energy,optimal_pmv,energy_savings,temp_change,ai_proposal
2024-11-12 18:10:00,True,优化,23.112299999999998,22.352926353709933,51.54269175072149,18.3069414701449,88.66066437684053,20.540871428571425,167.67497,123.88390350341797,136.24337768554688,-0.01,0.0,-2.571428571428573,
2024-11-12 18:20:00,True,优化,23.234,22.399594822690187,52.601243840473,18.26358381964511,88.09311650653981,20.709651020408163,170.0804,130.19363403320312,142.14788818359375,0.02,0.0,-2.5243489795918386,
2024-11-12 18:30:00,True,优化,23.368000000000002,22.44574941870553,53.784190641043566,18.82723424332461,87.49340627812275,20.74581807580175,173.87776,129.27511596679688,141.5242919921875,0.1,0.0,-2.6221819241982516,
2024-11-12 18:40:00,True,优化,23.5977,22.49026623365537,54.0401570019744,18.56708769553772,86.95416818718293,21.297613598500625,166.35477,127.72467041015625,138.49810791015625,-0.0,0.0,-2.3000864014993745,
2024-11-12 18:50:00,True,优化,23.8598,22.538432331487964,55.10588558539824,19.08738046871743,86.33365900055,21.806120113643125,155.7336,119.2912368774414,126.6725845336914,-0.01,0.0,-2.053679886356875,
2024-11-12 19:00:00,False,保持,23.871357142857143,22.584801267659852,56.093867558114006,19.08738046871743,85.75089639335924,23.871357142857143,157.90176,110.47725677490234,110.47725677490234,0.05,0.0,0.0,
2024-11-12 19:10:00,False,保持,23.845142857142857,22.626545010181704,57.16250104864404,19.95453476828954,85.26134508203023,23.845142857142857,163.2084,105.99308013916016,105.99308013916016,0.05,0.0,0.0,
2024-11-12 19:20:00,False,保持,23.932,22.673436832089404,57.857608354767244,20.474827219075177,84.72306935967558,23.932,168.06767,106.6822280883789,106.6822280883789,0.08,0.0,0.0,
2024-11-12 19:30:00,False,保持,23.9908,22.720819370154985,59.44056663829856,20.127965692682775,84.19731250040658,23.9908,158.23727,106.33840942382812,106.33840942382812,0.09,0.0,0.0,
2024-11-12 19:40:00,False,保持,24.0209,22.768853574637486,61.194533642799584,21.038477481557642,83.66173327273928,24.0209,152.04941,97.84911346435547,97.84911346435547,0.11,0.0,0.0,
2024-11-12 19:50:00,False,保持,24.0253,22.816409628803605,61.90836849944066,20.821689067861648,83.13058342409559,24.0253,156.20251,92.7850112915039,92.7850112915039,0.11,0.0,0.0,
2024-11-12 20:00:00,False,保持,24.0245,22.857321142382283,62.900177794335214,20.951762180558056,82.67492704477773,24.0245,157.61905,94.79486846923828,94.79486846923828,0.11,0.0,0.0,
2024-11-12 20:10:00,False,保持,24.07925,22.890395460901942,64.0216452453598,20.865046557164405,82.2107968548467,24.07925,153.74481,93.37491607666016,93.37491607666016,0.12,0.0,0.0,
2024-11-12 20:20:00,False,保持,24.02595,22.918891718340667,64.73811149044107,21.21190872834495,81.75051862278819,24.02595,153.12871,89.97700500488281,89.97700500488281,0.11,0.0,0.0,
2024-11-12 20:30:00,False,保持,24.0188,22.947618818733204,65.23234194205942,21.472054953737768,81.28638843285718,24.0188,154.89323,89.05223846435547,89.05223846435547,0.11,0.0,0.0,
2024-11-12 20:40:00,False,保持,23.942,22.973207751632696,65.56318389289004,20.734973444467993,80.87233028041251,23.942,155.8482,88.39373016357422,88.39373016357422,0.08,0.0,0.0,
2024-11-12 20:50:00,False,保持,23.938499999999998,23.001536362148716,65.56940386238169,20.865046557164405,80.40145978508757,23.938499999999998,151.78308,88.72063446044922,88.72063446044922,0.08,0.0,0.0,
2024-11-12 21:00:00,False,保持,23.961000000000002,23.033302707089273,65.686621633908,20.64825814346841,79.87955426280813,23.961000000000002,149.19696,88.17557525634766,88.17557525634766,0.08,0.0,0.0,
2024-11-12 21:10:00,False,保持,23.98325,23.04433573772588,65.64117013596623,20.865046557164405,79.6378598940443,23.98325,153.58969,85.9012451171875,85.9012451171875,0.09,0.0,0.0,
2024-11-12 21:20:00,False,保持,23.98825,23.053596310779348,65.43543967636214,20.90840436886123,79.39038805413392,23.98825,149.52315,87.44586181640625,87.44586181640625,0.09,0.0,0.0,
2024-11-12 21:30:00,False,保持,23.9745,23.062801945598423,65.4832841558321,21.16855059425405,79.10343620717252,23.9745,133.07458,84.67416381835938,84.67416381835938,0.09,0.0,0.0,
2024-11-12 21:40:00,False,保持,23.78075,23.072254904841632,65.4832841558321,21.16855059425405,78.85596436726215,23.78075,18.527876,77.37117767333984,77.37117767333984,0.02,0.0,0.0,
2024-11-12 21:50:00,False,保持,23.52875,23.081364380688967,65.50720594994667,20.865046557164405,78.60656666483108,23.52875,16.717375,9.959420204162598,9.959420204162598,-0.05,0.0,0.0,
2024-11-12 22:00:00,False,保持,23.3013,23.09046010491614,65.61964043213902,20.04125006928912,78.33694752719886,23.3013,18.601116,8.350813865661621,8.350813865661621,-0.12,0.0,0.0,
2024-11-12 22:10:00,False,保持,23.1612,23.093798848149394,65.16512010527643,19.30416888241342,78.11874860648759,23.1612,19.124008,7.0994367599487305,7.0994367599487305,-0.18,0.0,0.0,
2024-11-12 22:20:00,False,保持,23.064999999999998,23.093798848149394,64.65557991932255,18.653803318931374,77.9465775293549,23.064999999999998,19.141293,6.736234664916992,6.736234664916992,-0.21,0.0,0.0,
2024-11-12 22:30:00,False,保持,22.997999999999998,23.093798848149394,64.19149167693084,18.1335107069487,77.73319323099085,22.997999999999998,19.044603,4.832632064819336,4.832632064819336,-0.22,0.0,0.0,
2024-11-12 22:40:00,False,保持,22.9005,23.093798848149394,63.68554007202841,17.873364320358846,77.52327549680561,22.9005,19.283312,4.950286865234375,4.950286865234375,-0.25,0.0,0.0,
2024-11-12 22:50:00,False,保持,22.872,23.093798848149394,63.11858659983466,17.873364320358846,77.34417133012047,22.872,19.146957,7.49791145324707,7.49791145324707,-0.27,0.0,0.0,
2024-11-12 23:00:00,False,保持,22.8565,23.093633965199974,62.667655299643926,17.26635640737659,77.17084471219225,22.8565,19.2525,9.99698257446289,9.99698257446289,-0.27,0.0,0.0,
